iter	Accuracy	Logloss
632	0.8952358379	0.2688506125
633	0.8952358379	0.2687389185
634	0.8952358379	0.2686859817
635	0.8952358379	0.2685738704
636	0.8952358379	0.2684182259
637	0.8952358379	0.2682687862
638	0.8952358379	0.268188594
639	0.8952358379	0.2681433847
640	0.8952358379	0.2680775153
641	0.8952358379	0.2679581997
642	0.8952358379	0.2678883326
643	0.8954728609	0.2678033765
644	0.8952358379	0.2676939154
645	0.8954728609	0.2676384063
646	0.8954728609	0.2675455008
647	0.8954728609	0.2675124726
648	0.8954728609	0.2673924342
649	0.8957098839	0.2671897079
650	0.8957098839	0.2671455245
651	0.8957098839	0.2670541882
652	0.8957098839	0.2669590478
653	0.8957098839	0.2668785243
654	0.8954728609	0.2667739533
655	0.8954728609	0.2667204211
656	0.8954728609	0.2666228401
657	0.8954728609	0.2665610228
658	0.8954728609	0.2664772437
659	0.8954728609	0.2664067418
660	0.8954728609	0.2662977804
661	0.8954728609	0.2662372284
662	0.8954728609	0.2661634711
663	0.8957098839	0.2660230633
664	0.8957098839	0.265956256
665	0.8957098839	0.2658175263
666	0.8957098839	0.2657295771
667	0.8954728609	0.2656217107
668	0.8957098839	0.265556538
669	0.8957098839	0.2654703812
670	0.8954728609	0.2654060385
671	0.8954728609	0.2653485742
672	0.8954728609	0.2652432904
673	0.8957098839	0.2651668403
674	0.8959469068	0.2650809909
675	0.8964209528	0.2649482609
676	0.8968949988	0.2648631774
677	0.8973690448	0.2648004872
678	0.8973690448	0.2647422343
679	0.8973690448	0.2646503503
680	0.8973690448	0.2645751112
681	0.8973690448	0.2644676684
682	0.8973690448	0.2644192661
683	0.8973690448	0.2643076473
684	0.8973690448	0.2642242733
685	0.8973690448	0.2641685361
686	0.8973690448	0.2641347319
687	0.8973690448	0.2641027469
688	0.8973690448	0.2640443016
689	0.8971320218	0.2639279348
690	0.8971320218	0.2638446334
691	0.8973690448	0.2637922419
692	0.8973690448	0.2637240707
693	0.8973690448	0.2636432385
694	0.8973690448	0.2635625642
695	0.8973690448	0.2635092745
696	0.8973690448	0.2634485252
697	0.8973690448	0.2632988022
698	0.8973690448	0.2632477506
699	0.8973690448	0.2631774162
700	0.8973690448	0.2631554734
701	0.8973690448	0.2630243805
702	0.8973690448	0.2629629828
703	0.8973690448	0.262892244
